player_id,Position,x_star,x_star_sd,Player_Name,Position_Code,Team,points,goals,assists,gamesPlayed,Points_per_60,x_star_rank,pts60_rank,rank_divergence
8476921,forwards,3.6949387,0.32856864,Jordan Martinook,L,CAR,29,12,17,77,1.4981703379493434,1,256,-255
8477446,forwards,3.563749,0.27196792,Michael McCarron,C,MIN,17,8,9,79,0.9124658943507628,2,351,-349
8480039,forwards,3.3519034,0.31217062,Martin Necas,C,COL,100,38,62,78,3.6001440057602303,3,12,-9
8482726,forwards,3.3167307,0.40781826,Samuel Helenius,C,LAK,9,5,4,53,1.2789137127970318,4,308,-304
8477149,forwards,3.2272654,0.41177213,Scott Sabourin,R,TBL,5,1,4,26,1.4792899408284024,5,262,-257
8478427,forwards,3.050682,0.3859007,Sebastian Aho,C,CAR,80,27,53,79,3.063503882565685,6,40,-34
8480801,forwards,3.0054007,0.30557525,Brady Tkachuk,L,FLA,59,22,37,60,3.420289855072464,7,21,-14
8478403,forwards,3.0032055,0.31838745,Jack Eichel,C,VGK,90,27,63,74,3.396724886251651,8,22,-14
8482745,forwards,2.9077408,0.32135165,Mason McTavish,C,STL,41,17,24,75,2.1915367483296215,9,141,-132
8478462,forwards,2.811314,0.27287373,Nicolas Roy,C,COL,25,8,17,74,1.439309131616824,10,273,-263
8481559,forwards,2.7979856,0.29482836,Jack Hughes,C,NJD,77,27,50,61,3.552980684192312,11,15,-4
8473419,forwards,2.5799005,0.29513365,Brad Marchand,L,FLA,54,27,27,52,3.513591671486408,12,17,-5
8480849,forwards,2.5777576,0.29240927,Barrett Hayton,C,UTA,25,10,15,67,1.4859331660282658,13,259,-246
8480208,forwards,2.5680346,0.330649,Drake Batherson,R,OTT,71,33,38,79,3.0755161957934254,14,38,-24
8482124,forwards,2.5452783,0.3127789,Quinton Byfield,R,LAK,49,24,25,79,1.8530384999212144,15,194,-179
8482093,forwards,2.540677,0.37201124,Seth Jarvis,R,CAR,66,32,34,71,2.9099816289038576,16,48,-32
8477450,forwards,2.4619,0.36695683,Jason Dickinson,C,EDM,17,7,10,64,1.0394021739130435,17,339,-322
8479318,forwards,2.4193583,0.3024536,Auston Matthews,C,TOR,53,27,26,60,2.548076923076923,18,90,-72
8481528,forwards,2.3935719,0.31638741,Dylan Cozens,C,OTT,59,28,31,82,2.514799905280606,19,95,-76
8473533,forwards,2.3511734,0.30713353,Jordan Staal,C,CAR,36,20,16,75,1.7401812688821752,20,218,-198
8478483,forwards,2.3287709,0.31926617,Mitch Marner,R,VGK,80,24,56,81,2.9143897996357016,21,47,-26
8475184,forwards,2.3202987,0.2900491,Chris Kreider,L,ANA,50,22,28,75,2.3833167825223436,22,114,-92
8482201,forwards,2.3079908,0.28479293,Gage Goncalves,C,TBL,33,11,22,74,2.0270270270270268,23,168,-145
8477501,forwards,2.2520266,0.268387,Valeri Nichushkin,R,CBJ,49,17,32,72,2.3444976076555024,24,118,-94
8482259,forwards,2.2256727,0.26979327,Bobby McMann,C,SEA,46,29,17,78,2.2231171969391865,25,138,-113
8482113,forwards,2.2073371,0.27879918,Anton Lundell,C,FLA,44,18,26,64,2.154046997389034,26,147,-121
8475786,forwards,2.1943521,0.2600898,Zach Hyman,L,EDM,52,31,21,58,2.707706549409859,27,70,-43
8477456,forwards,2.1798584,0.37914398,J.T. Compher,L,DET,28,11,17,82,1.3077322262584328,28,301,-273
8478856,forwards,2.174593,0.26783374,Conor Garland,R,CBJ,33,12,21,71,1.6229286485157306,29,244,-215
8479385,forwards,2.0686793,0.29701364,Jordan Kyrou,R,WSH,46,18,28,72,2.4364406779661016,30,105,-75
8476455,forwards,2.0290926,0.30722603,Gabriel Landeskog,L,COL,35,14,21,60,2.068965517241379,31,156,-125
8482475,forwards,2.024116,0.28189063,Egor Chinakhov,R,PIT,42,21,21,72,2.586206896551724,32,87,-55
8477933,forwards,1.982295,0.28827825,Sam Reinhart,C,FLA,61,29,32,64,2.6869616288175413,33,74,-41
8475722,forwards,1.9586936,0.30862942,Jason Zucker,L,BUF,45,24,21,62,2.8247602441150828,34,57,-23
8475798,forwards,1.9566958,0.28579834,Mikael Granlund,C,ANA,41,19,22,58,2.212893553223388,35,139,-104
8482660,forwards,1.938605,0.29486424,Kent Johnson,C,CBJ,22,7,15,76,1.3124751425162404,36,299,-263
8482109,forwards,1.9224524,0.29961187,Alexis Lafrenière,L,NYR,57,24,33,82,2.3697339246119733,37,115,-78
8477409,forwards,1.9220165,0.29229215,Carter Verhaeghe,C,FLA,55,25,30,77,2.4327611839437764,38,107,-69
8481721,forwards,1.9087579,0.29708365,Arseny Gritsyuk,R,NJD,31,13,18,66,1.858141858141858,39,192,-153
8485406,forwards,1.8951336,0.28817952,Porter Martone,R,PHI,10,4,6,9,3.944773175542406,40,6,34
8476881,forwards,1.8610516,0.3111074,Tomas Hertl,C,VGK,58,24,34,82,2.6036211282358224,41,83,-42
8478439,forwards,1.8236983,0.28920108,Travis Konecny,R,PHI,68,27,41,77,2.791238612134135,42,63,-21
8476453,forwards,1.7967091,0.2844298,Nikita Kucherov,R,TBL,130,44,86,76,5.026852846401718,43,1,42
8479351,forwards,1.7651622,0.2887208,Sam Steel,C,DAL,33,12,21,73,1.684676252871607,44,228,-184
8475343,forwards,1.7399206,0.29892024,Nic Dowd,C,VGK,21,5,16,75,1.1748251748251748,45,326,-281
8480064,forwards,1.7377363,0.2928217,Josh Norris,C,BUF,34,13,21,44,2.894711947781667,46,50,-4
8480027,forwards,1.7343742,0.32114103,Jason Robertson,L,DAL,96,45,51,82,3.434909654720019,47,20,27
8475168,forwards,1.7078665,0.2833148,Matt Duchene,C,DAL,45,16,29,57,2.797347699958558,48,61,-13
8480748,forwards,1.702188,0.2594358,Kiefer Sherwood,L,SJS,36,23,13,72,1.7391304347826086,49,220,-171
8478550,forwards,1.6721365,0.28215536,Artemi Panarin,L,LAK,84,28,56,78,3.0941125913192953,50,35,15
8481656,forwards,1.6655099,0.2629765,Aliaksei Protas,L,WSH,52,25,27,76,2.251515443086693,51,132,-81
8480995,forwards,1.6426249,0.27855417,Pontus Holmberg,R,TBL,22,11,11,70,1.4125200642054576,52,282,-230
8480835,forwards,1.6349545,0.28128052,Jack Drury,C,NSH,27,10,17,82,1.4179017388260007,53,278,-225
8477451,forwards,1.6310666,0.275375,Ryan Hartman,R,MIN,43,23,20,76,1.9891036184210527,54,172,-118
8482809,forwards,1.6120968,0.2908518,Jackson Blake,R,CAR,53,22,31,81,2.34383637368712,55,119,-64
8482702,forwards,1.5916593,0.31714764,Logan Stankoven,C,CAR,44,21,23,81,2.0671834625322996,56,158,-102
8477497,forwards,1.5758283,0.2936153,Sean Monahan,C,CBJ,36,13,23,78,1.6178563403490376,57,245,-188
8484186,forwards,1.56134,0.2839396,Ryan Leonard,R,WSH,45,20,25,75,2.4971098265895955,58,97,-39
8479671,forwards,1.5491189,0.28184816,Mathieu Olivier,R,CBJ,26,15,11,61,1.796752025185242,59,207,-148
8477492,forwards,1.5328969,0.28411075,Nathan MacKinnon,C,COL,127,53,74,80,4.306706857573475,60,3,57
8479525,forwards,1.5292945,0.31968984,Ross Colton,C,NSH,24,9,15,73,1.6257714887851873,61,242,-181
8477951,forwards,1.5131942,0.3126114,Nick Schmaltz,C,UTA,74,33,41,82,2.7163716453218045,62,67,-5
8475754,forwards,1.5023777,0.27231053,Brock Nelson,C,COL,65,33,32,81,2.477606251191157,63,100,-37
8480018,forwards,1.4970369,0.30923498,Nick Suzuki,C,MTL,101,29,72,82,3.5052540248722646,64,19,45
8479353,forwards,1.4775409,0.27657014,Brett Howden,C,VGK,22,12,10,58,1.4810382227541328,65,261,-196
8476878,forwards,1.4699734,0.268918,Zemgus Girgensons,C,TBL,20,9,11,74,1.1183597390493942,66,331,-265
8477955,forwards,1.4550955,0.25685436,Jared McCann,L,SEA,40,20,20,52,2.808550475893275,67,59,8
8477426,forwards,1.4492891,0.28656846,Nick Paul,L,TBL,15,7,8,51,1.3136768354984674,68,297,-229
8482089,forwards,1.4427055,0.30386898,Jake Neighbours,L,STL,36,15,21,69,2.0549900104652266,69,162,-93
8475745,forwards,1.3972086,0.28090215,Charlie Coyle,C,CBJ,58,20,38,82,2.344697480123972,70,117,-47
8484388,forwards,1.3899766,0.32512176,Daniil But,L,UTA,7,3,4,29,1.1617186059376727,71,327,-256
8484180,forwards,1.3725767,0.28837866,Samuel Honzek,L,CGY,4,2,2,18,1.0796221322537112,72,337,-265
8480893,forwards,1.3593833,0.26205155,Kirill Marchenko,R,CBJ,67,27,40,76,2.7912789890293013,73,62,11
8477015,forwards,1.3575227,0.28424045,Connor Brown,R,NJD,43,18,25,75,1.96011396011396,74,178,-104
8478519,forwards,1.3520858,0.2912267,Anthony Cirelli,C,TBL,52,23,29,71,2.5062925078991056,75,96,-21
8482476,forwards,1.3286213,0.27583748,Emil Heineman,L,NYI,31,22,9,82,1.3650708222227659,76,290,-214
8477960,forwards,1.3202934,0.27279434,Adrian Kempe,R,LAK,73,36,37,81,2.801765496066014,77,60,17
8473986,forwards,1.3196837,0.2868645,Alex Killorn,L,ANA,33,15,18,82,1.4231635440126502,78,277,-199
8482149,forwards,1.2771882,0.28614056,Cole Perfetti,C,WPG,32,12,20,68,1.8080231025174212,79,206,-127
8479337,forwards,1.2590009,0.28559807,Alex DeBrincat,R,DET,85,41,44,82,3.361898483849703,80,24,56
8478445,forwards,1.2506853,0.27274784,Mathew Barzal,C,NYI,72,19,53,81,2.58272800645682,81,89,-8
8482088,forwards,1.2451302,0.28281236,Justin Sourdif,C,WSH,35,15,20,78,1.8273581621997912,82,202,-120
8480802,forwards,1.2416458,0.29215407,Ryan McLeod,C,BUF,54,14,40,81,2.2835394862036154,83,129,-46
8482055,forwards,1.2413075,0.28868043,Drew O'Connor,L,VAN,29,17,12,82,1.4550522648083624,84,270,-186
8474564,forwards,1.24114,0.28510526,Steven Stamkos,C,NSH,66,42,24,82,2.7080009117848185,85,69,16
8481553,forwards,1.2245817,0.27803886,Bobby Brink,R,MIN,30,15,15,68,1.7357762777242043,86,221,-135
8482146,forwards,1.2125816,0.27172774,Luke Evangelista,R,NSH,56,12,44,81,2.496378022957762,87,98,-11
8480855,forwards,1.2044408,0.2842076,Jack McBain,C,UTA,25,9,16,75,1.4563106796116503,88,269,-181
8483516,forwards,1.1947372,0.2782649,Jimmy Snuggerud,R,STL,51,21,30,70,2.6176218990590248,89,81,8
8482659,forwards,1.1846046,0.3034797,Josh Doan,R,BUF,52,25,27,82,2.390499297663134,90,112,-22
8484241,forwards,1.1794509,0.35037798,Matthew Wood,R,NSH,30,17,13,71,2.0583582686919897,91,160,-69
8477964,forwards,1.1783448,0.2609631,Ivan Barbashev,L,VGK,61,23,38,82,2.718831249226198,92,66,26
8484984,forwards,1.1683338,0.26702225,Ivan Demidov,R,MTL,62,19,43,82,2.8742885105725398,93,52,41
8475170,forwards,1.1667829,0.2804661,Brayden Schenn,C,NYI,39,18,21,80,1.7445328031809146,94,216,-122
8484166,forwards,1.1664995,0.2638329,Adam Fantilli,C,CBJ,59,24,35,82,2.2841656987998453,95,128,-33
8480980,forwards,1.1609843,0.3137607,Connor Dewar,C,PIT,30,14,16,78,1.6602102933038185,96,230,-134
8481540,forwards,1.1521301,0.2754351,Cole Caufield,R,MTL,88,51,37,81,3.578326725627732,97,14,83
8477500,forwards,1.1414071,0.26236778,Bo Horvat,C,NYI,57,31,26,68,2.4218676234538763,98,108,-10
8477998,forwards,1.1280602,0.26819313,Warren Foegele,L,OTT,17,13,4,68,1.0935601458080195,99,335,-236
8480188,forwards,1.1264112,0.34424865,Fabian Zetterlund,L,OTT,33,17,16,82,1.8815331010452963,100,189,-89
8478873,forwards,1.1234139,0.2670156,Troy Terry,R,ANA,57,19,38,61,3.069283235610865,101,39,62
8477476,forwards,1.1165514,0.26892576,Artturi Lehkonen,L,COL,48,21,27,70,2.2482435597189694,102,133,-31
8480448,forwards,1.0918328,0.29020932,Parker Kelly,C,COL,35,21,14,82,2.0515158422612263,103,163,-60
8476826,forwards,1.0805982,0.27578986,Yanni Gourde,C,TBL,28,9,19,82,1.2569205446655694,104,310,-206
8478438,forwards,1.0803651,0.31103766,Tommy Novak,C,PIT,42,16,26,82,2.1566110397946083,105,146,-41
8483525,forwards,1.0745347,0.2624504,Danila Yurov,R,MIN,27,12,15,73,1.6854517079937574,106,227,-121
8478864,forwards,1.0658214,0.25341043,Kirill Kaprizov,L,MIN,89,45,44,78,3.0608735526768314,107,41,66
8483489,forwards,1.0567639,0.29800275,Fraser Minten,C,BOS,35,17,18,82,1.6451663445970648,108,238,-130
8482116,forwards,1.0336984,0.27218616,Tim Stützle,C,OTT,83,34,49,80,3.0341186027619824,109,43,66
8478474,forwards,1.029905,0.32324263,Lawson Crouse,L,UTA,44,24,20,81,1.9247594050743657,110,185,-75
8482667,forwards,1.0234009,0.27851614,William Eklund,L,OTT,53,15,38,78,2.1997786386275595,111,140,-29
8483752,forwards,1.0220515,0.27252308,Dominic James,C,TBL,15,7,8,43,1.7155928326343879,112,224,-112
8480023,forwards,1.0117834,0.26255012,Robert Thomas,C,STL,64,25,39,64,3.15512708150745,113,29,84
8484142,forwards,1.0100917,0.2514186,Denver Barkey,C,PHI,17,5,12,43,1.781296387926769,114,209,-95
